id,currency_name,exchange_rate,currency_code,exchange_date,update_at
550,US Dollar,41.2152,USD,2025-04-17 00:00:00,2025-04-17 18:05:15.058737
551,US Dollar,41.1753,USD,2025-04-16 00:00:00,2025-04-17 18:05:15.058737
552,US Dollar,41.3153,USD,2025-04-15 00:00:00,2025-04-17 18:05:15.058737
553,US Dollar,41.3879,USD,2025-04-14 00:00:00,2025-04-17 18:05:15.058737
554,US Dollar,41.4031,USD,2025-04-13 00:00:00,2025-04-17 18:05:15.058737
555,US Dollar,41.4031,USD,2025-04-12 00:00:00,2025-04-17 18:05:15.058737
556,US Dollar,41.4031,USD,2025-04-11 00:00:00,2025-04-17 18:05:15.058737
557,US Dollar,41.2751,USD,2025-04-10 00:00:00,2025-04-17 18:05:15.058737
558,US Dollar,41.174,USD,2025-04-09 00:00:00,2025-04-17 18:05:15.058737
559,US Dollar,41.0807,USD,2025-04-08 00:00:00,2025-04-17 18:05:15.058737
560,US Dollar,41.1941,USD,2025-04-07 00:00:00,2025-04-17 18:05:15.058737
561,US Dollar,41.3426,USD,2025-04-06 00:00:00,2025-04-17 18:05:15.058737
562,US Dollar,41.3426,USD,2025-04-05 00:00:00,2025-04-17 18:05:15.058737
563,US Dollar,41.3426,USD,2025-04-04 00:00:00,2025-04-17 18:05:15.058737
564,US Dollar,41.3162,USD,2025-04-03 00:00:00,2025-04-17 18:05:15.058737
565,US Dollar,41.373,USD,2025-04-02 00:00:00,2025-04-17 18:05:15.058737
566,US Dollar,41.4228,USD,2025-04-01 00:00:00,2025-04-17 18:05:15.058737
567,US Dollar,41.4787,USD,2025-03-31 00:00:00,2025-04-17 18:05:15.058737
568,US Dollar,41.4863,USD,2025-03-30 00:00:00,2025-04-17 18:05:15.058737
569,US Dollar,41.4863,USD,2025-03-29 00:00:00,2025-04-17 18:05:15.058737
570,US Dollar,41.4863,USD,2025-03-28 00:00:00,2025-04-17 18:05:15.058737
571,US Dollar,41.5644,USD,2025-03-27 00:00:00,2025-04-17 18:05:15.058737
572,US Dollar,41.6949,USD,2025-03-26 00:00:00,2025-04-17 18:05:15.058737
573,US Dollar,41.6446,USD,2025-03-25 00:00:00,2025-04-17 18:05:15.058737
574,US Dollar,41.5277,USD,2025-03-24 00:00:00,2025-04-17 18:05:15.058737
575,US Dollar,41.541,USD,2025-03-23 00:00:00,2025-04-17 18:05:15.058737
576,US Dollar,41.541,USD,2025-03-22 00:00:00,2025-04-17 18:05:15.058737
577,US Dollar,41.541,USD,2025-03-21 00:00:00,2025-04-17 18:05:15.058737
578,US Dollar,41.573,USD,2025-03-20 00:00:00,2025-04-17 18:05:15.058737
579,US Dollar,41.5658,USD,2025-03-19 00:00:00,2025-04-17 18:05:15.058737
580,US Dollar,41.4395,USD,2025-03-18 00:00:00,2025-04-17 18:05:15.058737
581,US Dollar,41.5098,USD,2025-03-17 00:00:00,2025-04-17 18:05:15.058737
582,US Dollar,41.527,USD,2025-03-16 00:00:00,2025-04-17 18:05:15.058737
583,US Dollar,41.527,USD,2025-03-15 00:00:00,2025-04-17 18:05:15.058737
584,US Dollar,41.527,USD,2025-03-14 00:00:00,2025-04-17 18:05:15.058737
585,US Dollar,41.5076,USD,2025-03-13 00:00:00,2025-04-17 18:05:15.058737
586,US Dollar,41.4124,USD,2025-03-12 00:00:00,2025-04-17 18:05:15.058737
587,US Dollar,41.287,USD,2025-03-11 00:00:00,2025-04-17 18:05:15.058737
588,US Dollar,41.2127,USD,2025-03-10 00:00:00,2025-04-17 18:05:15.058737
589,US Dollar,41.2742,USD,2025-03-09 00:00:00,2025-04-17 18:05:15.058737
590,US Dollar,41.2742,USD,2025-03-08 00:00:00,2025-04-17 18:05:15.058737
591,US Dollar,41.2742,USD,2025-03-07 00:00:00,2025-04-17 18:05:15.058737
592,US Dollar,41.368,USD,2025-03-06 00:00:00,2025-04-17 18:05:15.058737
593,US Dollar,41.5782,USD,2025-03-05 00:00:00,2025-04-17 18:05:15.058737
594,US Dollar,41.5911,USD,2025-03-04 00:00:00,2025-04-17 18:05:15.058737
595,US Dollar,41.4313,USD,2025-03-03 00:00:00,2025-04-17 18:05:15.058737
596,US Dollar,41.514,USD,2025-03-02 00:00:00,2025-04-17 18:05:15.058737
597,US Dollar,41.514,USD,2025-03-01 00:00:00,2025-04-17 18:05:15.058737
598,US Dollar,41.514,USD,2025-02-28 00:00:00,2025-04-17 18:05:15.058737
599,US Dollar,41.639,USD,2025-02-27 00:00:00,2025-04-17 18:05:15.058737
600,US Dollar,41.7358,USD,2025-02-26 00:00:00,2025-04-17 18:05:15.058737
601,US Dollar,41.7015,USD,2025-02-25 00:00:00,2025-04-17 18:05:15.059734
602,US Dollar,41.5919,USD,2025-02-24 00:00:00,2025-04-17 18:05:15.059734
603,US Dollar,41.7316,USD,2025-02-23 00:00:00,2025-04-17 18:05:15.059734
604,US Dollar,41.7316,USD,2025-02-22 00:00:00,2025-04-17 18:05:15.059734
605,US Dollar,41.7316,USD,2025-02-21 00:00:00,2025-04-17 18:05:15.059734
606,US Dollar,41.6814,USD,2025-02-20 00:00:00,2025-04-17 18:05:15.059734
607,US Dollar,41.5705,USD,2025-02-19 00:00:00,2025-04-17 18:05:15.059734
608,US Dollar,41.5554,USD,2025-02-18 00:00:00,2025-04-17 18:05:15.059734
609,US Dollar,41.6299,USD,2025-02-17 00:00:00,2025-04-17 18:05:15.059734
610,US Dollar,41.7996,USD,2025-02-16 00:00:00,2025-04-17 18:05:15.059734
611,Euro,46.8205,EUR,2025-04-17 00:00:00,2025-04-17 18:05:15.191893
612,Euro,46.6104,EUR,2025-04-16 00:00:00,2025-04-17 18:05:15.191893
613,Euro,47.0271,EUR,2025-04-15 00:00:00,2025-04-17 18:05:15.191893
614,Euro,46.9153,EUR,2025-04-14 00:00:00,2025-04-17 18:05:15.191893
615,Euro,45.8415,EUR,2025-04-13 00:00:00,2025-04-17 18:05:15.191893
616,Euro,45.8415,EUR,2025-04-12 00:00:00,2025-04-17 18:05:15.191893
617,Euro,45.8415,EUR,2025-04-11 00:00:00,2025-04-17 18:05:15.191893
618,Euro,45.5471,EUR,2025-04-10 00:00:00,2025-04-17 18:05:15.191893
619,Euro,45.0258,EUR,2025-04-09 00:00:00,2025-04-17 18:05:15.191893
620,Euro,45.0532,EUR,2025-04-08 00:00:00,2025-04-17 18:05:15.191893
621,Euro,45.5524,EUR,2025-04-07 00:00:00,2025-04-17 18:05:15.191893
622,Euro,45.8531,EUR,2025-04-06 00:00:00,2025-04-17 18:05:15.191893
623,Euro,45.8531,EUR,2025-04-05 00:00:00,2025-04-17 18:05:15.191893
624,Euro,45.8531,EUR,2025-04-04 00:00:00,2025-04-17 18:05:15.191893
625,Euro,44.6339,EUR,2025-04-03 00:00:00,2025-04-17 18:05:15.191893
626,Euro,44.6084,EUR,2025-04-02 00:00:00,2025-04-17 18:05:15.191893
627,Euro,44.8278,EUR,2025-04-01 00:00:00,2025-04-17 18:05:15.191893
628,Euro,44.7472,EUR,2025-03-31 00:00:00,2025-04-17 18:05:15.191893
629,Euro,44.7471,EUR,2025-03-30 00:00:00,2025-04-17 18:05:15.191893
630,Euro,44.7471,EUR,2025-03-29 00:00:00,2025-04-17 18:05:15.191893
631,Euro,44.7471,EUR,2025-03-28 00:00:00,2025-04-17 18:05:15.191893
632,Euro,44.823,EUR,2025-03-27 00:00:00,2025-04-17 18:05:15.191893
633,Euro,45.1389,EUR,2025-03-26 00:00:00,2025-04-17 18:05:15.191893
634,Euro,45.0886,EUR,2025-03-25 00:00:00,2025-04-17 18:05:15.191893
635,Euro,44.9807,EUR,2025-03-24 00:00:00,2025-04-17 18:05:15.191893
636,Euro,45.0014,EUR,2025-03-23 00:00:00,2025-04-17 18:05:15.191893
637,Euro,45.0014,EUR,2025-03-22 00:00:00,2025-04-17 18:05:15.191893
638,Euro,45.0014,EUR,2025-03-21 00:00:00,2025-04-17 18:05:15.191893
